@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
573,'2020/12/18 20:32:55:450',17,196,71,34,2,688,2,2,?,?,?,?,?,0,127
574,'2020/12/18 20:36:35:116',18,176,67,33,2,1,2,2,0,0,0,0,0,?,?
575,'2020/12/18 20:36:35:317',18,168,64,33,1,2,2,2,0,0,0,0,0,?,?
576,'2020/12/18 20:36:35:519',18,245,53,33,1,2,2,2,0,0,0,0,0,?,?
577,'2020/12/18 20:36:35:720',18,242,50,33,1,2,2,2,0,0,0,0,0,?,?
578,'2020/12/18 20:36:35:921',18,189,56,33,1,2,2,2,0,0,0,0,0,?,?
579,'2020/12/18 20:36:36:122',18,85,58,33,2,2,2,2,0,0,0,0,0,?,?
580,'2020/12/18 20:36:36:323',18,146,60,33,2,2,2,2,0,0,0,0,0,?,?
581,'2020/12/18 20:36:36:524',18,229,75,33,2,1,2,2,0,0,0,0,0,?,?
582,'2020/12/18 20:36:36:725',18,232,138,33,2,2,2,2,0,0,0,0,0,?,?
583,'2020/12/18 20:36:36:927',18,162,194,33,2,2,2,2,0,0,0,0,0,?,?
584,'2020/12/18 20:36:37:128',18,155,227,33,2,2,2,2,0,0,0,0,0,?,?
585,'2020/12/18 20:36:37:328',18,171,248,33,1,1,2,1,0,0,0,0,0,?,?
586,'2020/12/18 20:36:37:529',18,215,261,33,2,1,2,1,0,0,0,0,0,?,?
587,'2020/12/18 20:36:37:730',18,186,324,33,2,2,2,2,0,0,0,0,0,?,?
588,'2020/12/18 20:36:37:931',18,116,312,33,2,2,2,2,0,0,0,0,0,?,?
589,'2020/12/18 20:36:38:133',18,149,261,32,2,2,1,2,0,0,0,0,0,?,?
590,'2020/12/18 20:36:38:335',18,189,167,32,2,2,2,2,0,0,0,0,0,?,?
591,'2020/12/18 20:36:38:536',18,171,122,33,2,2,2,2,0,0,0,0,0,?,?
592,'2020/12/18 20:36:38:738',18,135,103,33,2,2,2,2,0,0,0,0,0,?,?
593,'2020/12/18 20:36:38:939',18,145,93,33,2,2,2,2,0,0,0,0,0,?,?
594,'2020/12/18 20:36:39:140',18,172,88,33,2,1,2,2,0,0,0,0,0,?,?
595,'2020/12/18 20:36:39:341',18,144,78,34,2,2,2,2,0,0,0,0,0,?,?
596,'2020/12/18 20:36:39:544',18,124,63,33,2,2,2,2,0,0,0,0,0,?,?
597,'2020/12/18 20:36:39:745',18,133,51,33,2,2,2,2,0,0,0,0,0,?,?
598,'2020/12/18 20:36:39:946',18,171,42,33,2,2,2,2,0,0,0,0,0,?,?
599,'2020/12/18 20:36:40:147',18,129,40,34,2,2,2,2,0,0,0,0,0,?,?
600,'2020/12/18 20:36:40:348',18,131,48,33,1,2,2,2,0,0,0,0,0,?,?
